# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_lower_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_lower_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6235.89,0.87013,0.0328194,2,0,54.0673,22.6891,94.3167,48.7869,20.3455,15.7612,43.1298,9.88936,48.535,111.399,45.4809,4.96535,0.208493,0.208427
-6238.85,0.469547,0.0387228,1,0,55.372,24.9556,99.2423,49.3873,19.7948,16.7508,47.8399,9.93193,52.4145,113.597,43.22,4.91501,0.199065,0.203366
-6235.43,0.978802,0.0208075,3,0,59.9528,19.4941,98.9875,48.6919,19.2523,14.0522,43.3126,10.465,50.6415,117.738,42.4679,4.58609,0.213869,0.192332
-6236.43,0.875447,0.0303556,2,0,58.5387,17.6736,93.5847,48.3184,21.1406,13.5334,45.4932,10.8925,50.317,109.007,37.2356,4.13045,0.200336,0.186866
-6240.35,0.90158,0.0361039,2,0,53.0081,25.0802,93.9103,47.6375,19.8113,15.3727,44.509,12.3144,47.1483,106.045,46.537,3.68404,0.21126,0.216143
-6235.63,0.951706,0.045087,2,0,57.3778,20.5607,91.4766,49.3731,21.125,13.9859,46.134,10.9839,50.9225,110.033,38.1363,4.6263,0.203367,0.19013
-6236.98,0.343107,0.0618708,1,0,55.6135,19.0443,100.897,46.199,17.8313,15.1066,44.7827,10.7185,53.4826,114.532,41.03,5.47934,0.202312,0.203417
-6236.72,0.977439,0.0264008,2,0,51.2247,20.058,100.291,52.6021,17.1915,14.9558,46.825,11.5534,51.8094,115.77,44.4006,5.03521,0.212385,0.197374
-6238.52,0.82902,0.0380247,2,0,53.0786,20.1582,98.4049,47.0762,18.5479,14.4108,42.8562,11.4928,53.5445,116.937,41.8801,4.82418,0.213951,0.183955
-6238.67,1,0.0411867,1,0,52.8532,20.379,92.3694,49.4552,18.6836,14.4999,44.6474,10.9717,53.8721,117.416,41.8601,4.67195,0.21231,0.180812
