# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_bigC_c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6292.75,0.646352,0.546302,1,0,49.0831,20.4181,129.718,35.9924,30.2021,14.4316,45.1924,12.9896,55.5978,163.919,51.6648,6.91488,0.206911,0.211959
-6292.88,0.958768,0.332394,2,0,45.3305,22.8946,126.705,37.256,31.9374,14.584,46.5118,12.5001,53.6313,164.228,53.5216,7.88657,0.206536,0.21025
-6292.18,0.917776,0.54695,2,0,50.949,24.2055,128.387,38.054,31.5205,15.1868,46.7111,13.7377,54.3813,166.768,52.8681,7.88365,0.204485,0.209931
-6293.99,0.914518,0.795607,1,0,44.3265,25.1327,130.036,40.072,39.1152,14.3177,46.9987,15.9993,61.8273,173.189,58.6353,6.71233,0.205999,0.225488
-6293.99,0.535757,1.1481,0,0,44.3265,25.1327,130.036,40.072,39.1152,14.3177,46.9987,15.9993,61.8273,173.189,58.6353,6.71233,0.205999,0.225488
-6292.05,0.862324,0.505097,2,0,53.3034,19.7112,138.872,43.5583,35.7287,16.3244,49.4562,15.6129,60.5668,174.29,54.658,8.37486,0.211797,0.209601
-6294.56,0.878676,0.621869,1,0,54.0198,19.7645,139.155,39.1246,34.8636,17.0273,48.5207,13.8003,63.2889,178.658,55.2183,8.74325,0.214408,0.222769
-6292.73,1,0.805018,1,0,49.5926,21.905,134.537,44.967,31.4862,15.5694,48.8856,16.7908,59.744,173.237,56.958,7.91327,0.216361,0.212803
-6292.73,2.02611e-09,1.51057,0,0,49.5926,21.905,134.537,44.967,31.4862,15.5694,48.8856,16.7908,59.744,173.237,56.958,7.91327,0.216361,0.212803
-6293.6,0.996384,0.132584,4,0,45.9705,23.4712,130.599,37.255,30.8035,15.3186,46.292,14.2592,60.6758,171.823,48.9912,7.09386,0.214321,0.208909
