# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_vary_psi_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,gamma
-6285.18,0.998904,0.0140282,4,0,53.4525,18.5021,117.158,43.326,31.8574,16.2638,38.283,12.3894,62.253,143.675,58.0539,8.15706,0.688587,0.218075,0.202185,0.601887,0.213852,0.623889,0.208411,0.212998,0.337052,0.158623,0.365365,0.305926,0.200119
-6285.27,0.918831,0.0228709,4,0,68.6527,28.1107,153.338,61.0153,39.3792,19.6902,56.5607,15.0879,82.1047,192.935,68.3725,8.69716,0.69596,0.363875,0.184426,0.490291,0.19631,0.43379,0.187105,0.212427,0.351354,0.147271,0.230081,0.219403,0.185055
-6286.09,0.999229,0.0309734,3,0,70.6808,23.7238,149.599,54.8608,38.3459,23.7692,55.6877,18.1729,75.194,188.942,64.0777,7.91106,0.625818,0.392339,0.19201,0.521356,0.201817,0.361775,0.1926,0.225029,0.28152,0.144529,0.217958,0.21458,0.184519
-6286.09,0.445481,0.0499765,3,0,70.6808,23.7238,149.599,54.8608,38.3459,23.7692,55.6877,18.1729,75.194,188.942,64.0777,7.91106,0.625818,0.392339,0.19201,0.521356,0.201817,0.361775,0.1926,0.225029,0.28152,0.144529,0.217958,0.21458,0.184519
-6277.39,0.996684,0.023537,6,0,56.1614,21.2336,124.696,44.0876,32.6258,20.4856,42.234,14.2378,65.9514,154.452,57.5781,9.40429,0.511533,0.343267,0.189216,0.453634,0.209441,0.393409,0.195933,0.177043,0.370349,0.172037,0.30067,0.437008,0.201352
-6283.61,0.437179,0.0376004,4,0,58.3471,21.7859,142.487,57.7085,37.0818,17.0137,55.7235,15.882,80.2362,185.816,66.0862,10.5002,0.473508,0.203238,0.171074,0.851535,0.206999,0.316435,0.19827,0.225307,0.320128,0.158451,0.24457,0.661806,0.19307
-6281.63,0.984025,0.0175674,4,0,53.7247,21.8449,132.672,50.4133,29.9862,15.3651,48.2618,14.2614,63.9441,159.535,62.2173,10.3705,0.596861,0.250772,0.215047,0.908381,0.209362,0.299276,0.208286,0.201478,0.3498,0.158946,0.328979,0.694262,0.199731
-6286.16,0.963264,0.0271905,3,0,66.4035,19.0129,134.124,53.0447,38.152,19.0052,50.5046,15.0615,70.3605,161.976,69.5074,9.78489,0.503827,0.240036,0.221076,0.770256,0.200329,0.279579,0.183775,0.175078,0.338791,0.165051,0.405231,0.726745,0.199622
-6286.13,0.951601,0.0400302,4,0,64.8857,19.0047,133.06,53.9377,40.2502,18.3754,48.2044,15.1559,69.695,165.429,71.0195,9.76147,0.525223,0.241362,0.228325,0.772791,0.200055,0.279282,0.183869,0.17251,0.35335,0.165568,0.38737,0.698571,0.213065
-6290.27,0.280027,0.0572132,3,0,61.8381,31.8946,123.795,46.6919,41.8696,20.1082,45.1568,16.6866,77.0429,164.045,61.7213,9.15973,0.690912,0.261389,0.163104,0.898532,0.209647,0.468806,0.198934,0.217546,0.357598,0.147876,0.197765,0.478729,0.197343
-6282.36,1,0.0193758,6,0,47.1892,18.798,134.192,56.2652,30.9764,19.1209,50.06,15.4327,75.011,173.315,51.8623,10.4109,0.245121,0.246545,0.211251,0.728606,0.200594,0.381755,0.199865,0.200363,0.359415,0.161257,0.199648,1.43845,0.197745
-6283.25,0.960789,0.0306867,5,0,57.7387,20.3626,120.172,49.0784,38.4914,22.3535,47.91,13.9068,73.8098,164.503,64.4089,10.7423,0.380635,0.292282,0.173795,0.884925,0.18869,0.418383,0.195073,0.209437,0.342895,0.160994,0.431031,0.891581,0.194414
-6277.56,0.852733,0.0445013,2,0,56.2513,21.2639,128.254,50.0127,33.8576,19.9204,46.8579,15.6046,69.5989,161.914,67.4337,9.38737,0.514489,0.288159,0.205534,0.768282,0.249611,0.443427,0.208248,0.175936,0.327478,0.162584,0.240605,0.846319,0.203903
-6276.45,0.764036,0.0512024,3,0,64.5472,20.7454,137.036,55.0545,39.0647,20.5267,47.702,12.3987,68.4043,167.561,52.8214,9.81239,0.460796,0.252622,0.193608,0.850689,0.199342,0.552419,0.212758,0.197997,0.30615,0.152064,0.265121,0.990592,0.198121
-6273.8,0.576158,0.0488565,2,0,59.3551,18.5933,129.773,48.4029,34.1482,22.1547,44.9216,13.9306,64.2392,158.446,53.9332,9.74532,0.508565,0.227868,0.213132,0.876532,0.218158,0.525424,0.203893,0.187909,0.299563,0.152962,0.249726,0.976919,0.200066
-6271.23,0.953654,0.0315466,6,0,55.6332,21.5367,132.401,53.0557,37.2201,21.2207,47.2185,13.9324,71.0383,171.784,64.6999,9.57862,0.276504,0.238452,0.182987,0.520634,0.210915,0.547463,0.197574,0.218154,0.290497,0.154111,0.275061,1.76517,0.192668
-6276.83,0.616678,0.044691,3,0,46.8091,26.9076,141.688,54.446,33.2647,20.0084,48.0096,17.3923,73.6164,176.302,63.0224,11.3659,0.202199,0.223109,0.208168,0.494998,0.210885,0.438514,0.196553,0.206592,0.336345,0.162159,0.245845,1.6944,0.194433
-6278.98,0.717292,0.0315176,3,0,48.4097,30.1833,132.146,52.0894,38.1425,20.7781,46.1723,12.313,67.1353,165.835,57.3953,10.821,0.199897,0.22214,0.20982,0.498024,0.211291,0.474134,0.198756,0.188351,0.306192,0.155188,0.23386,1.66169,0.194746
-6283.68,0.819787,0.0274088,4,0,54.1894,16.2799,127.943,51.9463,31.4671,19.7327,46.3657,12.6687,69.7875,170.946,65.7262,10.8082,0.25432,0.337075,0.180919,0.55288,0.202829,0.506008,0.209968,0.146422,0.34775,0.141464,0.348397,1.4328,0.197335
